unit_id,treatment,checkout_completed,pre_purchase_score
shopper_0000001,1,0,0.67598138
shopper_0000002,0,0,0.46314134
shopper_0000003,1,0,0.94414562
shopper_0000004,0,0,0.04642154
shopper_0000005,0,0,0.61145249
shopper_0000006,1,0,0.70725409
shopper_0000007,1,0,0.24756231
shopper_0000008,1,0,0.46658415
shopper_0000009,1,0,0.60023950
shopper_0000010,0,0,0.37627202
shopper_0000011,0,0,0.67982881
shopper_0000012,0,0,0.52298510
shopper_0000013,1,0,0.30031052
shopper_0000014,0,0,0.29165174
shopper_0000015,0,0,0.44002559
shopper_0000016,1,0,0.34393733
shopper_0000017,0,0,0.48919274
shopper_0000018,1,0,0.56401477
shopper_0000019,1,0,0.20612025
shopper_0000020,0,0,0.53873674
shopper_0000021,0,0,0.42760026
shopper_0000022,1,0,0.43615550
shopper_0000023,0,0,0.06746351
shopper_0000024,0,0,0.22023509
shopper_0000025,1,1,0.79335923
shopper_0000026,0,0,0.54728347
shopper_0000027,0,0,0.65231508
shopper_0000028,0,0,0.06947996
shopper_0000029,0,0,0.81696709
shopper_0000030,0,0,0.50187264
shopper_0000031,0,0,0.60853202
shopper_0000032,1,0,0.60808993
shopper_0000033,0,0,0.25291558
shopper_0000034,0,0,0.62154135
shopper_0000035,1,0,0.58890441
shopper_0000036,1,0,0.42644413
shopper_0000037,0,0,0.51827140
shopper_0000038,0,0,0.45662121
shopper_0000039,0,0,0.99305802
shopper_0000040,1,0,0.89166115
shopper_0000041,1,0,0.45687399
shopper_0000042,0,0,0.95226359
shopper_0000043,1,0,0.57128118
shopper_0000044,1,1,0.38997889
shopper_0000045,1,0,0.58946336
shopper_0000046,1,0,0.09641750
shopper_0000047,0,0,0.33080662
shopper_0000048,0,0,0.75270299
shopper_0000049,1,0,0.84971408
shopper_0000050,1,0,0.41172970
shopper_0000051,0,0,0.15319701
shopper_0000052,0,0,0.45356684
shopper_0000053,0,0,0.22035974
shopper_0000054,1,0,0.34807190
shopper_0000055,1,1,0.60462063
shopper_0000056,0,0,0.48182012
shopper_0000057,0,0,0.56132652
shopper_0000058,0,0,0.47207696
shopper_0000059,1,0,0.33228996
shopper_0000060,1,0,0.69504113
shopper_0000061,0,0,0.68868050
shopper_0000062,1,0,0.02854937
shopper_0000063,0,0,0.63860249
shopper_0000064,0,0,0.62121094
shopper_0000065,1,0,0.56647912
shopper_0000066,0,0,0.59994643
shopper_0000067,1,0,0.57944564
shopper_0000068,1,0,0.46352245
shopper_0000069,0,0,0.26725687
shopper_0000070,0,0,0.64907828
shopper_0000071,0,0,0.73435212
shopper_0000072,1,0,0.54453278
shopper_0000073,1,1,0.71656218
shopper_0000074,0,0,0.40395975
shopper_0000075,1,0,0.39882114
shopper_0000076,1,0,0.79349437
shopper_0000077,1,1,0.04614959
shopper_0000078,0,0,0.26841804
shopper_0000079,0,0,0.49154393
shopper_0000080,1,1,0.41685587
shopper_0000081,1,0,0.49546980
shopper_0000082,0,0,0.53680401
shopper_0000083,0,0,0.59997942
shopper_0000084,0,0,0.55640790
shopper_0000085,1,1,0.85273187
shopper_0000086,0,0,0.34040932
shopper_0000087,1,0,0.61771634
shopper_0000088,0,0,0.09549165
shopper_0000089,0,0,0.30384668
shopper_0000090,1,0,0.33429923
shopper_0000091,0,0,0.46077550
shopper_0000092,1,0,0.77822239
shopper_0000093,1,0,0.74578727
shopper_0000094,0,0,0.83854844
shopper_0000095,0,0,0.43934321
shopper_0000096,0,0,0.65368840
shopper_0000097,1,1,0.45068454
shopper_0000098,1,0,0.71129017
shopper_0000099,0,0,0.08736055
shopper_0000100,0,0,0.48947784
shopper_0000101,0,0,0.36645195
shopper_0000102,1,0,0.61527703
shopper_0000103,0,0,0.81502402
shopper_0000104,1,0,0.35034343
shopper_0000105,0,1,0.40437353
shopper_0000106,1,0,0.79522009
shopper_0000107,0,0,0.54746142
shopper_0000108,0,0,0.28358715
shopper_0000109,1,0,0.46288503
shopper_0000110,0,0,0.56677965
shopper_0000111,1,0,0.14163002
shopper_0000112,1,1,0.64850226
shopper_0000113,0,0,0.42137762
shopper_0000114,1,0,0.05746563
shopper_0000115,0,0,0.28876431
shopper_0000116,0,0,0.44593592
shopper_0000117,1,1,0.62574222
shopper_0000118,0,0,0.57905514
shopper_0000119,0,0,0.06548772
shopper_0000120,1,1,0.35935092
shopper_0000121,1,0,0.21340200
shopper_0000122,1,0,0.62873233
shopper_0000123,1,0,0.54382730
shopper_0000124,1,0,0.74364078
shopper_0000125,0,0,0.64551794
shopper_0000126,0,1,0.51129134
shopper_0000127,1,1,0.24619289
shopper_0000128,0,0,0.63387677
shopper_0000129,1,1,0.81886115
shopper_0000130,0,0,0.18974227
shopper_0000131,0,0,0.41888854
shopper_0000132,1,0,0.51508901
shopper_0000133,0,0,0.30134690
shopper_0000134,0,0,0.60850755
shopper_0000135,1,0,0.45248998
shopper_0000136,0,0,0.45999522
shopper_0000137,0,0,0.67994483
shopper_0000138,0,0,0.59108145
shopper_0000139,1,1,0.74859138
shopper_0000140,1,0,0.72076908
shopper_0000141,0,0,0.50585523
shopper_0000142,1,0,0.27837687
shopper_0000143,1,0,0.40478620
shopper_0000144,1,0,0.06220580
shopper_0000145,1,0,0.43319600
shopper_0000146,0,1,0.55067529
shopper_0000147,0,1,0.50658173
shopper_0000148,1,0,0.97189919
shopper_0000149,1,1,0.49710728
shopper_0000150,0,0,0.97916804
shopper_0000151,0,0,0.40878881
shopper_0000152,1,0,0.33428176
shopper_0000153,1,0,0.49466776
shopper_0000154,0,0,0.54981988
shopper_0000155,1,0,0.31977407
shopper_0000156,0,0,0.13012347
shopper_0000157,1,0,0.59159892
shopper_0000158,1,0,0.70439844
shopper_0000159,1,0,0.30316189
shopper_0000160,1,0,0.72917595
shopper_0000161,1,0,0.66841043
shopper_0000162,0,0,0.38412407
shopper_0000163,0,1,0.34221195
shopper_0000164,0,1,0.83402062
shopper_0000165,1,0,0.50254059
shopper_0000166,0,0,0.38471730
shopper_0000167,1,0,0.34922979
shopper_0000168,1,0,0.14472806
shopper_0000169,1,0,0.43813083
shopper_0000170,0,0,0.79504508
shopper_0000171,1,0,0.52740938
shopper_0000172,1,0,0.51332827
shopper_0000173,1,0,0.76415991
shopper_0000174,0,0,0.45439934
shopper_0000175,1,0,0.56082181
shopper_0000176,1,0,0.68262800
shopper_0000177,1,0,0.42550406
shopper_0000178,0,1,0.77853678
shopper_0000179,0,0,0.61603909
shopper_0000180,0,0,0.39344125
shopper_0000181,1,0,0.49461489
shopper_0000182,1,0,0.42250523
shopper_0000183,0,0,0.09245160
shopper_0000184,1,1,0.28465085
shopper_0000185,1,0,0.83769676
shopper_0000186,0,0,0.52683907
shopper_0000187,1,0,0.27115433
shopper_0000188,0,1,0.58831341
shopper_0000189,1,0,0.20087465
shopper_0000190,1,0,0.35852502
shopper_0000191,0,0,0.10202999
shopper_0000192,0,0,0.81779970
shopper_0000193,1,0,0.08165638
shopper_0000194,0,0,0.15226622
shopper_0000195,1,0,0.12019466
shopper_0000196,1,0,0.43026384
shopper_0000197,0,1,0.85180296
shopper_0000198,1,0,0.80890651
shopper_0000199,0,0,0.81511130
shopper_0000200,1,0,0.34005494
shopper_0000201,1,0,0.66953145
shopper_0000202,0,0,0.26070748
shopper_0000203,1,1,0.55874989
shopper_0000204,0,0,0.35503481
shopper_0000205,0,0,0.26357413
shopper_0000206,0,0,0.20963084
shopper_0000207,1,0,0.82560920
shopper_0000208,0,0,0.09095116
shopper_0000209,1,0,0.78797438
shopper_0000210,1,1,0.44574792
shopper_0000211,0,1,0.76656460
shopper_0000212,0,0,0.41995277
shopper_0000213,1,0,0.08566677
shopper_0000214,1,0,0.23324603
shopper_0000215,1,1,0.66121240
shopper_0000216,0,0,0.49748606
shopper_0000217,1,0,0.63884213
shopper_0000218,1,0,0.68132990
shopper_0000219,0,0,0.49442538
shopper_0000220,0,0,0.41815330
shopper_0000221,0,0,0.31521788
shopper_0000222,0,0,0.27943161
shopper_0000223,1,0,0.40709185
shopper_0000224,0,1,0.55766909
shopper_0000225,0,0,0.58624688
shopper_0000226,0,0,0.56987530
shopper_0000227,1,1,0.53985894
shopper_0000228,0,0,0.63100232
shopper_0000229,0,0,0.56121305
shopper_0000230,0,0,0.41691701
shopper_0000231,1,0,0.56324093
shopper_0000232,0,0,0.55180853
shopper_0000233,1,0,0.81971385
shopper_0000234,1,0,0.66168874
shopper_0000235,1,0,0.59694136
shopper_0000236,0,0,0.37320722
shopper_0000237,1,0,0.23165318
shopper_0000238,0,0,0.44106971
shopper_0000239,1,0,0.35028057
shopper_0000240,0,0,0.41982205
shopper_0000241,0,0,0.49706744
shopper_0000242,0,0,0.62912361
shopper_0000243,1,0,0.59524197
shopper_0000244,0,0,0.65014285
shopper_0000245,0,0,0.22398834
shopper_0000246,1,0,0.75003636
shopper_0000247,0,0,0.56827898
shopper_0000248,1,1,0.77657535
shopper_0000249,1,0,0.44146358
shopper_0000250,1,0,0.58156845
shopper_0000251,0,0,0.74151308
shopper_0000252,0,0,0.14519355
shopper_0000253,1,0,0.90402959
shopper_0000254,0,0,0.40835256
shopper_0000255,0,0,0.11835580
shopper_0000256,1,0,0.29450027
shopper_0000257,1,0,0.66879051
shopper_0000258,1,0,0.70055200
shopper_0000259,1,1,0.74670605
shopper_0000260,0,0,0.68859251
shopper_0000261,0,0,0.46655340
shopper_0000262,0,0,0.68396187
shopper_0000263,1,0,0.49619045
shopper_0000264,0,0,0.61070406
shopper_0000265,1,0,0.64672652
shopper_0000266,0,0,0.37826133
shopper_0000267,1,0,0.64451505
shopper_0000268,1,0,0.53644670
shopper_0000269,0,0,0.75366682
shopper_0000270,0,0,0.23948671
shopper_0000271,0,0,0.50093631
shopper_0000272,0,0,0.43363411
shopper_0000273,1,0,0.74994994
shopper_0000274,0,0,0.49137218
shopper_0000275,1,0,0.16420966
shopper_0000276,0,0,0.60140160
shopper_0000277,1,0,0.47294690
shopper_0000278,1,0,0.71830139
shopper_0000279,1,0,0.58473793
shopper_0000280,1,0,0.15137151
shopper_0000281,0,0,0.04511025
shopper_0000282,0,0,0.60169523
shopper_0000283,1,0,0.10704150
shopper_0000284,1,0,0.24591296
shopper_0000285,1,1,0.12865055
shopper_0000286,1,0,0.33880091
shopper_0000287,1,0,0.55250440
shopper_0000288,1,1,0.60137906
shopper_0000289,1,0,0.27389603
shopper_0000290,0,0,0.67719795
shopper_0000291,0,0,0.42232545
shopper_0000292,0,0,0.57877719
shopper_0000293,0,0,0.17884032
shopper_0000294,0,0,0.49365757
shopper_0000295,0,0,0.25798260
shopper_0000296,0,0,0.97269522
shopper_0000297,0,0,0.47604972
shopper_0000298,0,0,0.69704775
shopper_0000299,1,0,0.22046936
shopper_0000300,1,0,0.54659098
shopper_0000301,0,0,0.54020875
shopper_0000302,0,1,0.60048463
shopper_0000303,1,0,0.40583536
shopper_0000304,0,0,0.60704853
shopper_0000305,1,0,0.61087934
shopper_0000306,0,0,0.84745981
shopper_0000307,1,0,0.38402663
shopper_0000308,0,0,0.35980529
shopper_0000309,1,0,0.32936347
shopper_0000310,1,0,0.30641649
shopper_0000311,0,0,0.63701656
shopper_0000312,1,0,0.31021152
shopper_0000313,0,1,0.74217081
shopper_0000314,0,0,0.54404010
shopper_0000315,1,0,0.82736714
shopper_0000316,0,0,0.58850810
shopper_0000317,0,1,0.32510227
shopper_0000318,1,0,0.92344037
shopper_0000319,1,0,0.37972742
shopper_0000320,1,0,0.52510818
shopper_0000321,0,0,0.21509531
shopper_0000322,1,0,0.64500706
shopper_0000323,1,0,0.59394848
shopper_0000324,0,0,0.65816637
shopper_0000325,0,0,0.49905622
shopper_0000326,1,0,0.56716899
shopper_0000327,0,0,0.48921608
shopper_0000328,1,0,0.44812695
shopper_0000329,0,0,0.33602623
shopper_0000330,0,0,0.54110890
shopper_0000331,1,0,0.12227113
shopper_0000332,1,0,0.57752736
shopper_0000333,1,0,0.21689590
shopper_0000334,0,0,0.63752650
shopper_0000335,1,0,0.38249468
shopper_0000336,0,1,0.91246396
shopper_0000337,1,0,0.45070307
shopper_0000338,1,0,0.86637218
shopper_0000339,1,0,0.60161530
shopper_0000340,0,0,0.42150050
shopper_0000341,1,0,0.25080100
shopper_0000342,0,0,0.55380348
shopper_0000343,1,0,0.53373504
shopper_0000344,0,0,0.63920467
shopper_0000345,1,0,0.58419141
shopper_0000346,1,0,0.73069115
shopper_0000347,1,0,0.36829872
shopper_0000348,0,0,0.43638845
shopper_0000349,1,0,0.74902833
